Room_ID,RoomDesc,FloorID,DateCaptured,CapturerID,DateModified,ModifierID,Enabled
325,R0032,77,2021-11-23 08:40:09.873,199,NULL,NULL,1
326,R0007,77,2021-11-23 09:07:03.440,199,2021-11-23 10:58:58.390,199,1
327,R0045,88,2021-11-23 09:07:34.220,199,2021-11-23 09:24:06.850,199,1
328,R0046,88,2021-11-23 09:08:06.357,199,2021-11-23 09:24:47.377,199,1
329,R0047,88,2021-11-23 09:08:17.270,199,2021-11-23 09:25:09.900,199,1
330,R0048,88,2021-11-23 09:08:38.410,199,2021-11-23 09:25:57.780,199,1
331,R0049,88,2021-11-23 09:09:00.140,199,2021-11-23 09:26:22.420,199,1
332,R0050,88,2021-11-23 09:09:19.017,199,2021-11-23 09:39:59.550,199,1
333,R0051,88,2021-11-23 09:09:39.647,199,2021-11-23 09:44:15.617,199,1
334,R0052,88,2021-11-23 09:10:21.207,199,2021-11-23 09:42:05.453,199,1
335,R0053,88,2021-11-23 09:10:45.567,199,2021-11-23 09:41:17.210,199,1
336,R0250,74,2021-11-23 09:11:04.557,199,2021-11-23 09:52:25.563,199,1
337,R0184,75,2021-11-23 09:11:23.943,199,2021-11-23 09:55:48.070,199,1
338,R0058,73,2021-11-23 09:11:43.143,199,2021-11-23 09:49:06.050,199,1
339,R0059,73,2021-11-23 09:13:59.023,199,2021-11-23 09:49:38.240,199,1
340,R0060,73,2021-11-23 09:14:19.373,199,2021-11-23 09:16:43.233,199,1
341,R0186,75,2021-11-23 09:14:42.170,199,2021-11-23 09:58:17.797,199,1
342,R0062,73,2021-11-23 09:15:02.150,199,2021-11-23 09:50:30.687,199,1
343,R0044,88,2021-11-23 09:15:19.440,199,2021-11-23 11:01:11.717,199,1
344,R0065,81,2021-11-23 09:15:29.797,199,2021-11-23 11:02:06.447,199,1
345,R0185,75,2021-11-23 09:56:50.420,199,NULL,NULL,1
346,R0191,76,2021-11-23 10:04:15.537,199,NULL,NULL,1
347,R0202,80,2021-11-23 11:07:23.147,199,NULL,NULL,1
348,R0203,80,2021-11-23 11:09:08.247,199,NULL,NULL,1
349,R0206,80,2021-11-23 11:09:42.287,199,NULL,NULL,1
350,R0211,80,2021-11-23 11:10:07.683,199,NULL,NULL,1
351,R0077,81,2021-11-23 11:38:16.830,199,NULL,NULL,1
352,R0075,81,2021-11-23 11:38:52.220,199,NULL,NULL,1
353,R0073,81,2021-11-23 11:39:25.263,199,NULL,NULL,1
354,R0071,81,2021-11-23 11:39:45.523,199,NULL,NULL,1
355,R0069,81,2021-11-23 11:40:05.043,199,NULL,NULL,1
356,R0067,81,2021-11-23 11:40:21.950,199,NULL,NULL,1
357,R0236,82,2021-11-23 11:44:09.963,199,NULL,NULL,1
358,R0237,82,2021-11-23 11:44:34.680,199,NULL,NULL,1
359,R0238,82,2021-11-23 11:44:56.537,199,NULL,NULL,1
360,R0239,82,2021-11-23 11:45:13.953,199,NULL,NULL,1
361,R0153,83,2021-11-23 12:11:36.690,199,NULL,NULL,1
362,R0154,83,2021-11-23 12:12:02.677,199,NULL,NULL,1
363,R0156,83,2021-11-23 12:12:43.100,199,NULL,NULL,1
364,R0160,83,2021-11-23 12:13:03.217,199,NULL,NULL,1
365,R0179,84,2021-11-23 12:44:28.743,199,NULL,NULL,1
366,R0172,84,2021-11-23 12:44:44.383,199,NULL,NULL,1
367,R0173,84,2021-11-23 12:45:14.363,199,NULL,NULL,1
368,R0106,85,2021-11-23 13:02:47.640,199,NULL,NULL,1
369,R0110,85,2021-11-23 13:03:40.633,199,NULL,NULL,1
370,R0114,85,2021-11-23 13:04:04.627,199,NULL,NULL,1
371,R0124,85,2021-11-23 13:04:24.570,199,NULL,NULL,1
372,R0132,86,2021-11-23 13:10:44.763,199,NULL,NULL,1
373,R0125,86,2021-11-23 13:11:13.310,199,NULL,NULL,1
374,R0126,86,2021-11-23 13:11:41.193,199,NULL,NULL,1
375,R0127,86,2021-11-23 13:12:01.700,199,NULL,NULL,1
376,R0128,86,2021-11-23 13:12:33.853,199,NULL,NULL,1
377,R0129,86,2021-11-23 13:12:49.580,199,NULL,NULL,1
378,R0130,86,2021-11-23 13:13:05.807,199,NULL,NULL,1
379,R0131,86,2021-11-23 13:13:21.030,199,NULL,NULL,1
380,R0133,86,2021-11-23 13:13:34.273,199,NULL,NULL,1
381,R0138,86,2021-11-23 13:14:07.557,199,NULL,NULL,1
382,R0139,86,2021-11-23 13:14:28.347,199,NULL,NULL,1
383,R0147,86,2021-11-23 13:14:43.797,199,NULL,NULL,1
384,R0227,89,2021-11-23 13:21:40.193,199,NULL,NULL,1
385,R0220,90,2021-11-23 13:23:18.507,199,NULL,NULL,1
386,R0221,90,2021-11-23 13:23:41.933,199,NULL,NULL,1
387,R0223,90,2021-11-23 13:24:10.907,199,NULL,NULL,1
388,R0222,90,2021-11-23 13:25:01.020,199,NULL,NULL,1
389,R0224,90,2021-11-23 13:25:14.853,199,NULL,NULL,1
390,R0225,90,2021-11-23 13:25:28.753,199,NULL,NULL,1
391,R0226,90,2021-11-23 13:25:43.723,199,NULL,NULL,1
392,R0099,92,2021-11-23 13:27:31.747,199,NULL,NULL,1
393,R0100,92,2021-11-23 13:27:50.633,199,NULL,NULL,1
394,R0101,92,2021-11-23 13:28:04.247,199,NULL,NULL,1
395,R0241,93,2021-11-23 13:29:10.067,199,NULL,NULL,1
396,R0228,94,2021-11-23 13:32:10.177,199,NULL,NULL,1
397,R0229,94,2021-11-23 13:32:27.367,199,NULL,NULL,1
398,R0230,94,2021-11-23 13:32:49.997,199,NULL,NULL,1
399,R0233,94,2021-11-23 13:33:18.610,199,NULL,NULL,1
400,R0234,94,2021-11-23 13:33:47.443,199,NULL,NULL,1
401,R0235,94,2021-11-23 13:34:12.443,199,NULL,NULL,1
402,R0078,72,2021-11-23 13:44:49.857,199,NULL,NULL,1
403,R0079,72,2021-11-23 13:45:08.027,199,NULL,NULL,1
404,R0080,72,2021-11-23 13:45:21.990,199,NULL,NULL,1
405,R0081,72,2021-11-23 13:45:35.713,199,NULL,NULL,1
406,R0082,72,2021-11-23 13:45:50.880,199,NULL,NULL,1
407,R0083,72,2021-11-23 13:46:07.647,199,NULL,NULL,1
408,R0084,72,2021-11-23 13:46:19.267,199,NULL,NULL,1
409,R0085,72,2021-11-23 13:46:30.397,199,NULL,NULL,1
410,R0087,72,2021-11-23 13:46:42.910,199,NULL,NULL,1
411,R0088,72,2021-11-23 13:46:56.433,199,NULL,NULL,1
412,R0089,72,2021-11-23 13:47:10.483,199,NULL,NULL,1
413,R0090,72,2021-11-23 13:47:20.717,199,NULL,NULL,1
414,R0091,72,2021-11-23 13:47:33.350,199,NULL,NULL,1
415,R0092,72,2021-11-23 13:47:46.117,199,NULL,NULL,1
416,R0093,72,2021-11-23 13:47:56.400,199,NULL,NULL,1
417,R0102,72,2021-11-23 13:48:18.370,199,NULL,NULL,1
418,R0094,72,2021-11-23 13:49:45.063,199,NULL,NULL,1
419,R0214,77,2021-11-23 13:51:40.370,199,NULL,NULL,1
420,R0313,96,2022-10-03 16:24:43.217,251,NULL,NULL,1
421,R0323,119,2022-10-03 16:25:29.450,251,NULL,NULL,1
422,R0329,112,2022-10-03 16:26:48.633,251,NULL,NULL,1
423,R0330,112,2022-10-03 16:27:46.507,251,NULL,NULL,1
424,R0339,120,2022-10-03 16:28:49.010,251,NULL,NULL,1
425,R0348,72,2022-10-03 16:29:37.583,251,2024-04-22 20:26:37.593,199,1
426,R0CAR,128,2022-10-03 16:30:34.707,251,NULL,NULL,1
427,R0063,2,2022-10-04 09:08:20.700,252,NULL,NULL,1
428,R0098,56,2022-10-04 09:08:47.960,252,NULL,NULL,1
429,R0181,8,2022-10-04 09:09:10.480,252,NULL,NULL,1
430,R0187,11,2022-10-04 09:09:40.203,252,NULL,NULL,1
431,R0215,32,2022-10-04 09:10:09.820,252,NULL,NULL,1
432,R0301,8,2022-10-04 09:10:36.683,252,NULL,NULL,1
433,R0303,71,2022-10-04 09:10:58.540,252,NULL,NULL,1
434,R0305,71,2022-10-04 09:11:19.307,252,NULL,NULL,1
435,R0306,71,2022-10-04 09:11:40.230,252,NULL,NULL,1
436,R0307,71,2022-10-04 09:11:57.667,252,NULL,NULL,1
437,R0309,71,2022-10-04 09:12:15.823,252,NULL,NULL,1
438,R0310,71,2022-10-04 09:12:34.253,252,NULL,NULL,1
439,R0312,68,2022-10-04 09:13:04.967,252,NULL,NULL,1
440,R0314,14,2022-10-04 09:13:27.310,252,NULL,NULL,1
441,R0316,129,2022-10-04 09:31:28.760,252,NULL,NULL,1
442,R0317,129,2022-10-04 09:31:43.050,252,NULL,NULL,1
443,R0318,130,2022-10-04 09:33:57.697,252,NULL,NULL,1
444,R0319,104,2022-10-04 09:34:18.740,252,NULL,NULL,1
445,R0321,121,2022-10-04 09:34:49.397,252,NULL,NULL,1
446,R0322,110,2022-10-04 09:35:09.880,252,NULL,NULL,1
447,R0324,131,2022-10-04 09:36:41.160,252,NULL,NULL,1
448,R0328,132,2022-10-04 09:38:29.760,252,NULL,NULL,1
449,R0334,133,2022-10-04 09:43:29.367,252,NULL,NULL,1
450,R0337,133,2022-10-04 09:43:50.300,252,NULL,NULL,1
451,R0349,134,2022-10-04 09:45:11.120,252,NULL,NULL,1
452,R0SKI,135,2022-10-04 09:46:16.390,252,NULL,NULL,1
453,R0315,161,2022-10-04 13:40:46.703,252,NULL,NULL,1
454,R78,72,2022-10-05 16:17:22.187,252,NULL,NULL,1
455,R210,80,2022-10-05 16:19:36.563,252,NULL,NULL,1
456,R16,101,2022-10-06 07:58:12.327,252,NULL,NULL,1
457,R54,153,2022-10-06 07:58:41.177,252,2022-10-06 07:59:25.957,252,1
458,R33,101,2022-10-06 08:00:06.547,252,NULL,NULL,1
459,R23,101,2022-10-06 08:00:35.360,252,NULL,NULL,1
460,R210,102,2022-10-06 08:01:00.310,252,NULL,NULL,1
461,R239,82,2022-10-06 08:02:41.057,252,NULL,NULL,1
462,R156,104,2022-10-06 08:04:21.627,252,NULL,NULL,1
463,ROCAR,128,2022-10-06 08:05:12.080,252,NULL,NULL,1
464,R311,71,2022-10-06 08:05:41.877,252,NULL,NULL,1
465,R81,114,2022-10-06 08:09:14.400,252,NULL,NULL,1
466,R313,114,2022-10-06 08:09:49.010,252,NULL,NULL,1
467,R78,114,2022-10-06 08:10:24.053,252,NULL,NULL,1
468,R0335,120,2022-10-07 13:37:07.537,252,NULL,NULL,1
469,R0338,162,2022-10-07 13:40:00.943,252,NULL,NULL,1
470,R0320,163,2022-10-07 13:42:43.467,252,NULL,NULL,1
471,R0194,124,2022-10-09 17:58:15.410,251,NULL,NULL,1
472,R0341,164,2022-10-09 17:59:59.583,251,2022-10-09 18:01:22.133,251,1
473,R0ITC,122,2022-10-09 18:02:33.000,251,NULL,NULL,1
474,RMLM1,123,2022-10-09 18:03:27.183,251,NULL,NULL,1
475,RSDM12,80,2022-10-09 18:04:36.290,251,NULL,NULL,1
476,R0311,165,2022-11-02 12:43:12.800,199,NULL,NULL,1
477,RM128,80,2022-11-02 12:47:20.340,199,NULL,NULL,1
478,RM120,80,2022-11-02 12:47:55.517,199,NULL,NULL,1
479,R0031,166,2023-11-13 10:29:30.550,251,NULL,NULL,1
480,R0034,77,2024-04-22 20:08:50.123,199,NULL,NULL,1
481,R0207,80,2024-04-22 20:20:10.673,199,NULL,NULL,1
482,R0326,88,2024-04-22 20:22:40.150,199,NULL,NULL,1
483,R0327,88,2024-04-22 20:23:21.473,199,NULL,NULL,1
484,R0331,88,2024-04-22 20:23:57.593,199,NULL,NULL,1
485,R0332,88,2024-04-22 20:24:22.410,199,NULL,NULL,1
486,R0343,86,2024-04-22 20:25:12.713,199,NULL,NULL,1
487,R0344,88,2024-04-22 20:25:49.497,199,NULL,NULL,1
488,R0451,80,2024-04-22 20:28:04.733,199,NULL,NULL,1
489,R0459,167,2024-04-22 20:30:33.483,199,NULL,NULL,1
490,R0454,72,2024-04-22 20:31:06.937,199,NULL,NULL,1
491,R0460,167,2024-04-22 20:31:50.863,199,NULL,NULL,1
492,R0461,167,2024-04-22 20:32:24.427,199,NULL,NULL,1
493,R0462,167,2024-04-22 20:32:49.500,199,NULL,NULL,1
494,R0463,167,2024-04-22 20:33:27.757,199,NULL,NULL,1
495,R0464,77,2024-04-22 20:33:52.290,199,NULL,NULL,1
496,R0466,90,2024-04-22 20:34:27.927,199,NULL,NULL,1
497,R0465,90,2024-04-22 20:35:12.857,199,NULL,NULL,1
498,R0467,94,2024-04-22 20:36:02.713,199,NULL,NULL,1
499,R0468,94,2024-04-22 20:36:38.777,199,NULL,NULL,1
500,R0469,94,2024-04-22 20:37:05.500,199,NULL,NULL,1
501,R0470,94,2024-04-22 20:37:32.993,199,NULL,NULL,1
502,R0471,94,2024-04-22 20:38:04.137,199,NULL,NULL,1
503,R0473,94,2024-04-22 20:38:34.890,199,NULL,NULL,1
504,R0476,94,2024-04-22 20:39:16.573,199,NULL,NULL,1
505,R0477,167,2024-04-22 20:40:07.700,199,NULL,NULL,1
506,R0487,72,2024-04-22 20:40:22.243,199,NULL,NULL,1
507,R0AUCT,78,2024-04-22 20:40:52.133,199,NULL,NULL,1
508,R0PHON,72,2024-04-22 20:41:46.410,199,NULL,NULL,1
509,RNew,168,2024-04-22 20:43:46.923,199,NULL,NULL,1
