AssetCIDMSSubComponentTypeID,AssetCIDMSSubComponentTypeDesc,AssetCIDMSComponentTypeID,Infrastructure,Nature,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,Default
138,Tipper,411,1,1,1,2021-05-11 09:06:22.743,199,NULL,NULL,NULL
139,TLB,391,1,1,1,2021-05-11 09:07:43.067,199,NULL,NULL,NULL
140,Tractor,418,1,1,1,2021-05-11 09:07:57.610,199,NULL,NULL,NULL
141,Tredmill,419,0,1,1,2021-05-11 09:08:15.760,199,2024-04-15 17:49:34.863,562,0
142,Trimmer,386,1,1,1,2021-05-11 09:08:59.320,199,NULL,NULL,NULL
143,Water Dispenser,417,1,1,1,2021-05-11 09:09:22.310,199,NULL,NULL,NULL
144,Water Pump,421,1,1,1,2021-05-11 09:09:41.557,199,NULL,NULL,NULL
145,Weight,403,1,1,1,2021-05-11 09:10:50.290,199,NULL,NULL,NULL
146,Waterwell,420,1,1,1,2021-05-11 09:11:07.313,199,NULL,NULL,NULL
147,Welding Machine,422,1,1,1,2021-05-11 09:11:22.280,199,NULL,NULL,NULL
148,Bakkie,376,0,1,1,2021-05-11 09:12:06.357,199,2022-09-15 14:19:00.603,199,NULL
149,Bus,377,1,1,1,2021-05-11 09:12:31.737,199,NULL,NULL,NULL
150,Car,378,1,1,1,2021-05-11 09:12:55.033,199,NULL,NULL,NULL
151,Combi,379,1,1,1,2021-05-11 09:13:10.553,199,NULL,NULL,NULL
152,Truck,382,1,1,1,2021-05-11 09:13:30.823,199,NULL,NULL,NULL
153,Jeep,380,1,1,1,2021-05-11 09:13:51.427,199,NULL,NULL,NULL
154,Trailer,381,1,1,1,2021-05-11 09:14:07.423,199,NULL,NULL,NULL
155,CHAIR HIGH BACK,423,0,1,1,2021-05-11 09:19:01.527,199,2023-03-16 15:19:32.237,271,NULL
156,Walls,424,1,1,1,2021-06-11 14:32:12.620,199,NULL,NULL,NULL
157,Kerb Inlet,425,1,1,1,2021-06-11 14:32:35.937,199,NULL,NULL,NULL
158,Taxi Rank,426,1,1,1,2021-06-11 14:33:22.760,199,NULL,NULL,NULL
159,External Furniture,426,1,1,1,2021-06-11 14:33:35.943,199,NULL,NULL,NULL
160,Footpath,427,1,1,1,2021-06-11 14:33:58.050,199,NULL,NULL,NULL
161,Perimeter Protection,428,1,1,1,2021-06-11 14:34:07.740,199,NULL,NULL,NULL
162,Carport,429,1,1,1,2021-06-11 14:34:19.170,199,NULL,NULL,NULL
163,Land,430,1,1,1,2021-06-11 14:34:58.230,199,NULL,NULL,NULL
164,Road Structural Layer,431,1,1,1,2021-06-11 14:35:08.150,199,NULL,NULL,NULL
165,License testing centre,432,1,1,1,2021-06-11 14:38:12.717,199,NULL,NULL,NULL
166,Paving,433,1,1,1,2021-06-14 10:24:37.600,199,NULL,NULL,NULL
167,Small Building - Enclosure,434,1,1,1,2021-06-14 10:24:56.077,199,NULL,NULL,NULL
168,Walls,435,1,1,1,2021-06-14 10:25:20.807,199,NULL,NULL,NULL
169,RC Structure,436,1,1,1,2021-06-14 10:25:45.730,199,NULL,NULL,NULL
170,Carport,437,1,1,1,2021-06-14 10:26:17.833,199,NULL,NULL,NULL
171,Landscaping,438,1,1,1,2021-06-14 10:26:33.833,199,NULL,NULL,NULL
172,Paving,439,1,1,1,2021-06-14 10:26:47.397,199,NULL,NULL,NULL
173,Perimeter Protection,440,1,1,1,2021-06-14 10:27:01.867,199,NULL,NULL,NULL
174,Land,441,1,1,1,2021-06-14 10:27:28.123,199,NULL,NULL,NULL
175,Road Structural Layer,442,1,1,1,2021-06-14 10:28:05.000,199,NULL,NULL,NULL
176,Land,443,1,1,1,2021-06-14 10:28:50.603,199,NULL,NULL,NULL
177,Small Building - Enclosure,445,1,1,1,2021-06-14 11:58:43.683,199,NULL,NULL,NULL
178,Walls,446,1,1,1,2021-06-14 11:59:02.710,199,NULL,NULL,NULL
179,Kerb Inlet,447,1,1,1,2021-06-14 12:00:26.223,199,NULL,NULL,NULL
180,Pipe - Storm Water,448,1,1,1,2021-06-14 12:01:00.723,199,NULL,NULL,NULL
181,RC Structure,449,1,1,1,2021-06-14 12:01:31.673,199,NULL,NULL,NULL
182,Steel Structure,450,1,1,1,2021-06-14 12:01:59.933,199,NULL,NULL,NULL
183,Tank,451,1,1,1,2021-06-14 12:02:31.037,199,NULL,NULL,NULL
184,Walls,452,1,1,1,2021-06-14 12:03:24.877,199,NULL,NULL,NULL
185,Carport,453,1,1,1,2021-06-14 12:04:21.010,199,NULL,NULL,NULL
186,External Furniture,454,1,1,1,2021-06-14 12:04:46.193,199,NULL,NULL,NULL
187,External Lighting,455,1,1,1,2021-06-14 12:05:14.083,199,NULL,NULL,NULL
188,Footpath,456,1,1,1,2021-06-14 12:05:36.943,199,NULL,NULL,NULL
189,Landscaping,457,1,1,1,2021-06-14 12:05:58.410,199,NULL,NULL,NULL
190,Perimeter Protection,458,1,1,1,2021-06-14 12:06:15.343,199,NULL,NULL,NULL
191,Sign - General,459,1,1,1,2021-06-14 12:06:34.987,199,NULL,NULL,NULL
192,Land,460,1,1,1,2021-06-14 12:07:13.750,199,NULL,NULL,NULL
193,Road Structural Layer,461,1,1,1,2021-06-14 12:07:40.390,199,NULL,NULL,NULL
194,Land,444,1,1,1,2021-06-14 12:10:00.153,199,NULL,NULL,NULL
195,Small building - enclosure,462,1,1,1,2021-06-14 14:17:25.253,199,NULL,NULL,NULL
196,Walls,463,1,1,1,2021-06-14 14:17:42.913,199,NULL,NULL,NULL
197,Perimeter Protection,464,1,1,1,2021-06-14 14:18:22.443,199,NULL,NULL,NULL
198,Sign - General,465,1,1,1,2021-06-14 14:19:30.080,199,NULL,NULL,NULL
199,Land,466,1,1,1,2021-06-14 14:20:34.810,199,NULL,NULL,NULL
200,Road Structural Layer,467,1,1,1,2021-06-14 14:21:15.003,199,NULL,NULL,NULL
201,Earthworks,468,1,1,1,2021-06-14 14:21:42.323,199,NULL,NULL,NULL
202,Kerb,469,1,1,1,2021-06-14 14:22:00.130,199,NULL,NULL,NULL
203,Land,470,1,1,1,2021-06-14 14:22:59.437,199,NULL,NULL,NULL
204,Small Building - Enclosure,471,1,1,1,2021-06-14 14:23:39.630,199,NULL,NULL,NULL
205,Perimeter Protection,472,1,1,1,2021-06-14 14:24:31.967,199,NULL,NULL,NULL
206,Walls,475,1,1,1,2021-06-14 14:25:11.820,199,NULL,NULL,NULL
207,Small Building - Enclosure,476,1,1,1,2021-06-14 14:25:46.483,199,NULL,NULL,NULL
208,Perimeter Protection,474,1,1,1,2021-06-14 14:26:33.957,199,NULL,NULL,NULL
209,Land,473,1,1,1,2021-06-14 14:28:52.810,199,NULL,NULL,NULL
210,Small Building - Enclosure,477,1,1,1,2021-06-14 14:29:38.663,199,NULL,NULL,NULL
211,Walls,478,1,1,1,2021-06-14 14:29:57.407,199,NULL,NULL,NULL
212,Channel,479,1,1,1,2021-06-14 14:30:46.423,199,NULL,NULL,NULL
213,Steel Structure,480,1,1,1,2021-06-14 14:31:11.037,199,NULL,NULL,NULL
214,Tank,481,1,1,1,2021-06-14 14:31:30.737,199,NULL,NULL,NULL
215,External Furniture,482,1,1,1,2021-06-14 14:32:11.793,199,NULL,NULL,NULL
216,Community Hall,482,1,1,1,2021-06-14 14:32:19.883,199,NULL,NULL,NULL
217,External lighting,483,1,1,1,2021-06-14 14:32:53.463,199,NULL,NULL,NULL
218,Footpath,484,1,1,1,2021-06-14 14:33:20.620,199,NULL,NULL,NULL
219,Landscaping,485,1,1,1,2021-06-14 14:33:44.360,199,NULL,NULL,NULL
220,Paving,486,1,1,1,2021-06-14 14:34:07.873,199,NULL,NULL,NULL
221,Perimeter Protection,487,1,1,1,2021-06-14 14:34:30.547,199,NULL,NULL,NULL
222,Land,488,1,1,1,2021-06-14 14:35:11.707,199,NULL,NULL,NULL
223,Walls,489,1,1,1,2021-06-14 14:36:42.620,199,NULL,NULL,NULL
224,External Furniture,490,1,1,1,2021-06-14 14:37:21.127,199,NULL,NULL,NULL
225,External Lighting,491,1,1,1,2021-06-14 14:38:36.623,199,NULL,NULL,NULL
226,Footpath,492,1,1,1,2021-06-14 14:39:00.793,199,NULL,NULL,NULL
227,Paving,493,1,1,1,2021-06-14 14:39:23.103,199,NULL,NULL,NULL
228,Perimeter Protection,494,1,1,1,2021-06-14 14:39:40.937,199,NULL,NULL,NULL
229,Small Building - Enclosure,495,1,1,1,2021-06-14 14:40:06.730,199,NULL,NULL,NULL
230,Land,496,1,1,1,2021-06-14 14:40:39.750,199,NULL,NULL,NULL
231,Small Building - Enclosure,498,1,1,1,2021-06-14 14:41:25.990,199,NULL,NULL,NULL
232,Walls,497,1,1,1,2021-06-14 14:41:43.930,199,NULL,NULL,NULL
233,RC Structure,499,1,1,1,2021-06-14 14:42:16.977,199,NULL,NULL,NULL
234,Steel Structure,500,1,1,1,2021-06-14 14:42:38.167,199,NULL,NULL,NULL
235,Tank,501,1,1,1,2021-06-14 14:42:56.050,199,NULL,NULL,NULL
236,Valve - Water,502,1,1,1,2021-06-14 14:43:15.397,199,NULL,NULL,NULL
237,External Furniture,503,1,1,1,2021-06-14 14:43:50.570,199,NULL,NULL,NULL
238,External Lighting,504,1,1,1,2021-06-14 14:44:13.650,199,NULL,NULL,NULL
