240,Zizamele Township,1,2017-07-02 14:47:14.000,1,NULL,NULL,240,NULL,NULL
241,Zizamele T'Ship,1,2017-07-02 14:47:14.000,1,NULL,NULL,241,NULL,NULL
242,Zizamele Township,1,2017-07-02 14:47:14.000,1,NULL,NULL,242,NULL,NULL
243,7273 Zizamele Loc,1,2017-07-02 14:47:14.000,1,NULL,NULL,243,NULL,NULL
244,Vulli Valley,1,2017-07-02 14:47:14.000,1,NULL,NULL,244,NULL,NULL
245,Amalinda,1,2017-07-02 14:47:14.000,1,NULL,NULL,245,NULL,NULL
246,Ext 29,1,2017-07-02 14:47:14.000,1,NULL,NULL,246,NULL,NULL
247,North Crest,1,2017-07-02 14:47:14.000,1,NULL,NULL,247,NULL,NULL
248,Zizamele T/Ship,1,2017-07-02 14:47:14.000,1,NULL,NULL,248,NULL,NULL
249,7796 Zizamele,1,2017-07-02 14:47:14.000,1,NULL,NULL,249,NULL,NULL
250,Cuba Flats,1,2017-07-02 14:47:14.000,1,NULL,NULL,250,NULL,NULL
251,Southernwod,1,2017-07-02 14:47:14.000,1,NULL,NULL,251,NULL,NULL
252,Reservoir Hill,1,2017-07-02 14:47:14.000,1,NULL,NULL,252,NULL,NULL
253,Unknown,1,2017-07-02 14:47:14.000,1,NULL,NULL,253,NULL,NULL
254,Zitulele Area,1,2017-07-02 14:47:14.000,1,NULL,NULL,254,NULL,NULL
255,Butterworth Central,1,2017-07-02 14:47:14.000,1,NULL,NULL,255,NULL,NULL
256,Butterworth Central,1,2017-07-02 14:47:14.000,1,NULL,NULL,256,NULL,NULL
257,Unknown,1,2017-07-02 14:47:14.000,1,NULL,NULL,257,NULL,NULL
258,Gunubie,1,2017-07-02 14:47:14.000,1,NULL,NULL,258,NULL,NULL
259,Butterworth Central,1,2017-07-02 14:47:14.000,1,NULL,NULL,259,NULL,NULL
260,Unknown,1,2017-07-02 14:47:14.000,1,NULL,NULL,260,NULL,NULL
261,Butterworth Central,1,2017-07-02 14:47:14.000,1,NULL,NULL,261,NULL,NULL
262,New Erf,1,2017-07-02 14:47:14.000,1,NULL,NULL,262,NULL,NULL
263,New  Erf,1,2017-07-02 14:47:14.000,1,NULL,NULL,263,NULL,NULL
264,Extension 14B,1,2017-07-02 14:47:14.000,1,NULL,NULL,264,NULL,NULL
265,Stanford,1,2017-07-02 14:47:14.000,1,NULL,NULL,265,NULL,NULL
266,Butterworth,1,2017-07-02 14:47:14.000,1,NULL,NULL,266,NULL,NULL
267,Unknown,1,2017-07-02 14:47:14.000,1,NULL,NULL,267,NULL,NULL
268,Zitulele Industrial Area,1,2017-07-02 14:47:14.000,1,NULL,NULL,268,NULL,NULL
269,Zitulele Ind Area,1,2017-07-02 14:47:14.000,1,NULL,NULL,269,NULL,NULL
270,Unknown,1,2017-07-02 14:47:14.000,1,NULL,NULL,270,NULL,NULL
271,Pumlani Flats,1,2017-07-02 14:47:14.000,1,NULL,NULL,271,NULL,NULL
272,Southernwoos,1,2017-07-02 14:47:14.000,1,NULL,NULL,272,NULL,NULL
273,None,1,2017-07-02 14:47:14.000,1,NULL,NULL,273,NULL,NULL
274,0,1,2017-07-02 14:47:14.000,1,NULL,NULL,274,NULL,NULL
275,None,1,2017-07-02 14:47:14.000,1,NULL,NULL,275,NULL,NULL
276,Unknown,1,2017-07-02 14:47:14.000,1,NULL,NULL,276,NULL,NULL
277,Kentani,1,2017-07-02 14:47:14.000,1,NULL,NULL,277,NULL,NULL
278,Somerset Heights,1,2017-07-02 14:47:14.000,1,NULL,NULL,278,NULL,NULL
279,None,1,2017-07-02 14:47:14.000,1,NULL,NULL,279,NULL,NULL
280,Chatty,1,2017-07-02 14:47:14.000,1,NULL,NULL,280,NULL,NULL
281,Library,1,2017-07-02 14:47:14.000,1,NULL,NULL,281,NULL,NULL
282,Rwantsana,1,2017-07-02 14:47:14.000,1,NULL,NULL,282,NULL,NULL
