AssetCIDMSComponentTypeID,AssetCIDMSComponentTypeDesc,AssetCIDMSAssetTypeID,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,Default
285,Cash Drawer,336,1,2021-05-07 15:57:51.157,199,NULL,NULL,NULL
286,Chair,336,1,2021-05-07 15:58:36.020,199,NULL,NULL,NULL
287,Coat & Hat Stand,336,1,2021-05-07 15:59:16.180,199,NULL,NULL,NULL
288,Computer,336,1,2021-05-07 16:00:02.390,199,NULL,NULL,NULL
289,Computer Box,336,1,2021-05-07 16:00:54.343,199,NULL,NULL,NULL
290,Computer Stand,336,1,2021-05-07 16:01:37.287,199,NULL,NULL,NULL
291,Couch,336,1,2021-05-07 16:02:22.057,199,NULL,NULL,NULL
292,Counter,336,1,2021-05-07 16:03:05.757,199,NULL,NULL,NULL
293,CPU,336,1,2021-05-07 16:03:54.283,199,NULL,NULL,NULL
294,Credenza,336,1,2021-05-07 16:04:32.670,199,NULL,NULL,NULL
295,Cupboard,336,1,2021-05-07 16:05:31.513,199,NULL,NULL,NULL
296,Data Projector,336,1,2021-05-07 16:06:12.057,199,NULL,NULL,NULL
297,Data Sheet,336,1,2021-05-07 16:06:56.407,199,NULL,NULL,NULL
298,Desk,336,1,2021-05-07 16:07:49.763,199,NULL,NULL,NULL
299,Desktop,336,1,2021-05-07 16:08:41.490,199,NULL,NULL,NULL
300,Drawer,336,1,2021-05-07 16:09:18.677,199,NULL,NULL,NULL
301,Drawers,336,1,2021-05-07 16:10:06.623,199,NULL,NULL,NULL
302,DVD Drive,336,1,2021-05-07 16:10:49.363,199,NULL,NULL,NULL
303,Fax,336,1,2021-05-07 16:11:28.467,199,NULL,NULL,NULL
304,Filer,336,1,2021-05-07 16:12:15.947,199,NULL,NULL,NULL
305,Folding Machine,336,1,2021-05-07 16:12:57.857,199,NULL,NULL,NULL
306,Franking Machine,336,1,2021-05-07 16:13:36.200,199,NULL,NULL,NULL
307,Fridge,336,1,2021-05-07 16:14:22.990,199,NULL,NULL,NULL
308,Hard Drive,336,1,2021-05-07 16:15:07.797,199,NULL,NULL,NULL
309,Heater,336,1,2021-05-07 16:15:48.940,199,NULL,NULL,NULL
310,Ipad,336,1,2021-05-07 16:16:31.450,199,NULL,NULL,NULL
311,Laminator,336,1,2021-05-07 16:17:11.700,199,NULL,NULL,NULL
312,Laptop,336,1,2021-05-07 16:17:57.630,199,NULL,NULL,NULL
313,LICENCE DISK SCANNER AND NUMBER PLATE RECOGNITION,336,1,2021-05-07 16:18:41.833,199,NULL,NULL,NULL
314,Locker,336,1,2021-05-07 16:19:26.023,199,NULL,NULL,NULL
315,Media Player,336,1,2021-05-07 16:20:15.380,199,NULL,NULL,NULL
316,Megaphone,336,1,2021-05-07 16:20:56.997,199,NULL,NULL,NULL
317,Mic Stand,336,1,2021-05-07 16:21:44.153,199,NULL,NULL,NULL
318,Microphones,336,1,2021-05-07 16:22:29.097,199,NULL,NULL,NULL
319,Microwave,336,1,2021-05-07 16:23:11.337,199,NULL,NULL,NULL
320,Mixing Console,336,1,2021-05-07 16:24:06.093,199,NULL,NULL,NULL
321,Monitor,336,1,2021-05-07 16:24:58.423,199,NULL,NULL,NULL
322,Notice Board,336,1,2021-05-07 16:25:46.173,199,NULL,NULL,NULL
323,OLYMPUS DIGITAL VOICE RECORDER,336,1,2021-05-07 16:26:29.737,199,NULL,NULL,NULL
324,Pedenza,336,1,2021-05-07 16:27:11.087,199,NULL,NULL,NULL
325,Pedestal,336,1,2021-05-07 16:27:52.357,199,NULL,NULL,NULL
326,Phone,336,1,2021-05-07 16:28:34.113,199,NULL,NULL,NULL
327,Pigeon Hole,336,1,2021-05-07 16:29:13.503,199,NULL,NULL,NULL
328,Pin Board,336,1,2021-05-07 16:30:37.747,199,NULL,NULL,NULL
329,Podium,336,1,2021-05-07 16:31:16.670,199,NULL,NULL,NULL
330,Portable Drive,336,1,2021-05-07 16:31:56.887,199,NULL,NULL,NULL
331,Post Box,336,1,2021-05-07 16:32:36.540,199,NULL,NULL,NULL
332,Printer,336,1,2021-05-07 16:33:18.633,199,NULL,NULL,NULL
333,Projector,336,1,2021-05-07 16:33:57.787,199,NULL,NULL,NULL
334,Rack Server,336,1,2021-05-07 16:34:37.927,199,NULL,NULL,NULL
335,Recorder,336,1,2021-05-07 16:35:21.820,199,NULL,NULL,NULL
336,Roof rack,336,1,2021-05-07 16:36:09.207,199,NULL,NULL,NULL
